"date,""min"",""max"",""median"",""q1"",""q3"",""stdev"",""count"""
"2/13/2020,""7.09"",""20.94"",""11.08"",""9.78"",""12.94"",""2.247"",""364"""
"2/14/2020,""14.54"",""92.56"",""21.16"",""17.76"",""30.89"",""13.453"",""375"""
"2/15/2020,""7.36"",""80.63"",""29.21"",""19.54"",""44.2"",""15.509"",""317"""
"2/16/2020,""6.56"",""102.98"",""37.01"",""15.7"",""44.89"",""19.559"",""298"""
"2/17/2020,""6.56"",""69.2"",""12.84"",""9.19"",""14.79"",""5.462"",""343"""
"2/18/2020,""5.78"",""25.3"",""14.03"",""12.3"",""15.75"",""3.305"",""308"""
"2/19/2020,""6.54"",""103.17"",""29.65"",""20.28"",""35.99"",""11.689"",""435"""
"2/20/2020,""8.28"",""44.84"",""14.93"",""13.01"",""17.19"",""4.164"",""488"""
"2/21/2020,""8.94"",""50.3"",""14.28"",""11.84"",""16.39"",""4.967"",""404"""
"2/22/2020,""9.28"",""73.28"",""17.1"",""14.35"",""21.89"",""9.791"",""407"""
"2/23/2020,""8.98"",""28.05"",""15.78"",""13.42"",""17.92"",""3.437"",""438"""
"2/24/2020,""0.71"",""41.26"",""4.84"",""2.29"",""6.84"",""4.39"",""511"""
"2/25/2020,""0.88"",""25.45"",""2.89"",""2.25"",""3.88"",""1.69"",""439"""
"2/26/2020,""1.67"",""11.62"",""3.45"",""2.68"",""4.13"",""1.128"",""378"""
"2/27/2020,""3.21"",""13.34"",""5.91"",""4.83"",""7.21"",""1.487"",""526"""
"2/28/2020,""0.76"",""33.42"",""6.62"",""3.94"",""12.35"",""6.699"",""541"""
"2/29/2020,""3.52"",""216.62"",""23.14"",""14.02"",""50.47"",""34.592"",""560"""
"3/1/2020,""2.82"",""94.45"",""18.45"",""6.45"",""51.94"",""24.169"",""564"""
"3/2/2020,""3.98"",""42.36"",""9.82"",""6.89"",""14.28"",""6.388"",""451"""
"3/3/2020,""1.88"",""86.52"",""6.36"",""4.9"",""7.48"",""7.347"",""406"""
"3/4/2020,""2.45"",""27.79"",""5.86"",""3.77"",""12.28"",""5.954"",""573"""
"3/5/2020,""2"",""77"",""10.93"",""3.78"",""22.34"",""10.108"",""573"""
"3/6/2020,""4.29"",""50.02"",""10.52"",""7.87"",""12.52"",""4.557"",""576"""
"3/7/2020,""4.55"",""81.98"",""15.31"",""10.77"",""18.69"",""7.982"",""576"""
"3/8/2020,""2.13"",""26.06"",""11.48"",""4.2"",""17.64"",""6.568"",""573"""
"3/9/2020,""4.28"",""112.84"",""16.57"",""9.41"",""20.07"",""10.315"",""571"""
"3/10/2020,""9.73"",""31.78"",""13.59"",""12.36"",""16.55"",""4.293"",""561"""
"3/11/2020,""3.94"",""31.71"",""15.59"",""8.88"",""18.51"",""6.494"",""565"""
"3/12/2020,""1.11"",""49.56"",""4.84"",""2.16"",""6.7"",""9.961"",""484"""
"3/13/2020,""1.62"",""49.05"",""5.25"",""3.17"",""8.19"",""5.41"",""477"""
"3/14/2020,""1.05"",""54.77"",""4.07"",""2.46"",""6.9"",""5.677"",""536"""
"3/15/2020,""0.66"",""28.83"",""4.08"",""2.96"",""5.78"",""3.993"",""283"""
"3/16/2020,""1.06"",""31.92"",""5.65"",""2.61"",""12.57"",""8.167"",""572"""
"3/17/2020,""2.38"",""171.74"",""13.18"",""4.62"",""34.43"",""20.615"",""558"""
"3/18/2020,""6.11"",""282.48"",""39.57"",""27.58"",""49.12"",""27.518"",""358"""
"3/19/2020,""5.15"",""78.7"",""22.67"",""15.08"",""37.39"",""15.368"",""540"""
"3/20/2020,""2.22"",""70.75"",""13.93"",""6.74"",""27.21"",""13.454"",""460"""
"3/21/2020,""2.8"",""150.94"",""13.97"",""6.07"",""46.32"",""21.09"",""470"""
"3/22/2020,""1.7"",""23.2"",""12.96"",""3"",""17.72"",""6.964"",""435"""
"3/23/2020,""1.45"",""9.73"",""2.88"",""2.27"",""3.5"",""0.912"",""415"""
"3/24/2020,""1.85"",""14.93"",""3.48"",""2.7"",""4.59"",""1.905"",""434"""
"3/25/2020,""2.27"",""18.02"",""5.19"",""3.71"",""8.18"",""3.465"",""395"""
"3/26/2020,""3.25"",""16.14"",""9.4"",""7.74"",""11.05"",""2.537"",""406"""
"3/27/2020,""5.92"",""20.96"",""11.02"",""9.65"",""12.82"",""2.628"",""350"""
"3/28/2020,""5.35"",""24.25"",""10.32"",""7.65"",""12.28"",""3.957"",""171"""
"3/29/2020,""3.7"",""215.12"",""6.85"",""5.31"",""14.58"",""17.607"",""330"""
"3/30/2020,""10.11"",""38.97"",""15.72"",""12.81"",""29.48"",""9.065"",""131"""
"3/31/2020,""1.64"",""29.64"",""12.45"",""3.84"",""19.95"",""8.385"",""294"""
"4/1/2020,""1"",""185.05"",""9.3"",""2.9"",""30.9"",""26.412"",""172"""
"4/2/2020,""2.72"",""37.82"",""8.43"",""7.1"",""10.7"",""5.048"",""386"""
"4/3/2020,""4.72"",""36.93"",""8.11"",""6.59"",""11.8"",""4.154"",""391"""
"4/4/2020,""4.05"",""32.96"",""10.1"",""6.54"",""16.3"",""6.039"",""509"""
"4/5/2020,""2.21"",""35.65"",""6.32"",""4.15"",""8.93"",""4.62"",""500"""
"4/6/2020,""1.58"",""195.47"",""4.41"",""2.94"",""13.09"",""17.365"",""466"""
"4/7/2020,""3.01"",""68.98"",""17.16"",""4.84"",""26.5"",""11.447"",""435"""
"4/8/2020,""3.12"",""59"",""5.39"",""4.18"",""8.76"",""6.896"",""449"""
"4/9/2020,""4.47"",""79.17"",""15.93"",""11.43"",""23.84"",""9.434"",""431"""
"4/10/2020,""7.08"",""56.28"",""10.83"",""9.02"",""15.54"",""6.039"",""443"""
"4/11/2020,""1.35"",""8.64"",""2.54"",""1.86"",""4.34"",""2.025"",""145"""
"4/12/2020,""0.64"",""19.38"",""2.88"",""1.56"",""5.12"",""3.033"",""571"""
"4/13/2020,""1.37"",""29.65"",""3.13"",""2.45"",""5.09"",""3.221"",""570"""
"4/14/2020,""2.46"",""24.7"",""4.57"",""3.58"",""5.82"",""2.429"",""461"""
"4/15/2020,""0.44"",""16.05"",""3.88"",""2.48"",""6.22"",""3.034"",""510"""
"4/16/2020,""2.7"",""19.07"",""5.39"",""4.51"",""6.37"",""2.261"",""485"""
"4/17/2020,""3.12"",""152.1"",""46.69"",""9.98"",""56.38"",""29.133"",""567"""
"4/18/2020,""2.92"",""152.8"",""11.67"",""5.64"",""55.6"",""30.847"",""570"""
"4/19/2020,""5.61"",""30.16"",""13.61"",""11.02"",""17.43"",""5.216"",""557"""
"4/20/2020,""1.71"",""38.22"",""12.56"",""7.16"",""15.85"",""7.879"",""508"""
"4/21/2020,""1.25"",""21.19"",""4.33"",""2.38"",""5.54"",""2.442"",""382"""
"4/22/2020,""1.27"",""14.19"",""4.13"",""2.29"",""5.94"",""2.702"",""419"""
"4/23/2020,""1.82"",""38.84"",""7.31"",""3.37"",""10.11"",""5.882"",""476"""
"4/24/2020,""1.34"",""50.42"",""4.09"",""3.11"",""9.32"",""6.175"",""539"""
"4/25/2020,""1.64"",""12.24"",""2.71"",""2.4"",""3.35"",""1.085"",""504"""
"4/26/2020,""0.85"",""6.18"",""3"",""2.22"",""4.05"",""1.065"",""552"""
"4/27/2020,""1.66"",""18.89"",""3.34"",""2.72"",""4.54"",""2.339"",""532"""
"4/28/2020,""1.02"",""37.97"",""2.25"",""1.58"",""10.67"",""8.69"",""356"""
"4/29/2020,""0.85"",""10.52"",""2.34"",""1.45"",""4.01"",""1.507"",""518"""
"4/30/2020,""1.08"",""73.45"",""3.62"",""2.34"",""4.3"",""4.15"",""541"""
"5/1/2020,""2.4"",""25.48"",""5.65"",""4.08"",""7.98"",""3.33"",""371"""
"5/2/2020,""2.88"",""80.94"",""8.22"",""4.71"",""16.64"",""8.175"",""540"""
"5/3/2020,""1.13"",""32.97"",""7"",""2.57"",""10.09"",""4.728"",""570"""
"5/4/2020,""1.8"",""44.08"",""9.82"",""5.11"",""22.25"",""12.044"",""527"""
"5/5/2020,""1.1"",""22.98"",""6.51"",""3.25"",""10.38"",""4.504"",""489"""
"5/6/2020,""1.6"",""14.3"",""4.12"",""3.26"",""6.74"",""2.63"",""571"""
"5/7/2020,""0.86"",""65.65"",""2.06"",""1.55"",""3.43"",""5.256"",""381"""
"5/8/2020,""0.4"",""141.21"",""2.41"",""1.62"",""8.23"",""20.853"",""339"""
"5/9/2020,""0.86"",""37.14"",""4.28"",""2.46"",""12.98"",""6.478"",""339"""
"5/10/2020,""0.95"",""5.34"",""2.72"",""2.06"",""3.35"",""0.932"",""243"""
"5/11/2020,""1.64"",""45.06"",""4.25"",""2.34"",""5.56"",""6.961"",""342"""
"5/12/2020,""1.27"",""19.96"",""2.25"",""1.72"",""3.74"",""2.017"",""462"""
"5/13/2020,""0.4"",""17.12"",""1.48"",""1"",""2.5"",""1.968"",""443"""
"5/14/2020,""0.48"",""17.27"",""1.88"",""1.07"",""3.31"",""4.333"",""456"""
"5/15/2020,""0.45"",""10.46"",""3.07"",""1.14"",""4.09"",""1.944"",""519"""
"5/16/2020,""0.98"",""10.16"",""3.38"",""2.62"",""4.94"",""1.724"",""331"""
"5/17/2020,""0.68"",""104.58"",""2.5"",""1.52"",""4.13"",""7.222"",""534"""
"5/18/2020,""0.8"",""9.85"",""1.89"",""1.31"",""3.34"",""1.376"",""463"""
"5/19/2020,""0.2"",""18.98"",""1.58"",""0.7"",""6.41"",""3.156"",""545"""
"5/20/2020,""1.88"",""12.24"",""3.84"",""2.92"",""5.58"",""2.425"",""550"""
"5/21/2020,""0.4"",""9.78"",""2.34"",""0.9"",""4.18"",""2.166"",""507"""
"5/22/2020,""0.52"",""18.26"",""2.81"",""1.44"",""4.22"",""2.536"",""547"""
"5/23/2020,""0.2"",""16.87"",""1.3"",""0.62"",""2.35"",""1.852"",""506"""
"5/24/2020,""0.78"",""53.55"",""3.4"",""2.04"",""4.47"",""3.176"",""539"""
"5/25/2020,""0.8"",""49.25"",""2.62"",""1.74"",""3.3"",""2.531"",""540"""
"5/26/2020,""1.4"",""26.27"",""6.55"",""4.03"",""15.15"",""7.214"",""500"""
"5/27/2020,""1.2"",""27.98"",""10.19"",""5.47"",""15.8"",""6.895"",""527"""
"5/28/2020,""0.5"",""89.1"",""1.7"",""1.3"",""3.2"",""6.041"",""539"""
"5/29/2020,""0.8"",""23.25"",""4.53"",""3.12"",""5.92"",""3.124"",""545"""
"5/30/2020,""0.3"",""8.13"",""1"",""0.72"",""1.67"",""1.18"",""551"""
"5/31/2020,""0.7"",""5.95"",""2.1"",""1.47"",""2.67"",""0.928"",""495"""
"6/1/2020,""1.5"",""5.47"",""2.42"",""2.1"",""3.19"",""0.872"",""381"""
"6/2/2020,""0.5"",""22.3"",""2.4"",""1.57"",""9.5"",""5.11"",""323"""
"6/3/2020,""2.17"",""17.77"",""6.9"",""4.28"",""9.8"",""3.167"",""455"""
"6/4/2020,""0.33"",""11.97"",""1.4"",""0.89"",""2.54"",""1.428"",""536"""
"6/5/2020,""0.35"",""26.77"",""1.3"",""0.8"",""2.59"",""2.648"",""444"""
"6/6/2020,""0.5"",""83"",""1.82"",""1.1"",""4.05"",""5.915"",""483"""
"6/7/2020,""0.65"",""41.88"",""2.62"",""1.6"",""4.01"",""3.471"",""548"""
"6/8/2020,""0.56"",""11.73"",""2.1"",""1.35"",""3.2"",""1.302"",""482"""
"6/9/2020,""0.5"",""8.85"",""3.3"",""2.04"",""4.37"",""1.513"",""494"""
"6/10/2020,""0.7"",""16.89"",""3.55"",""2.1"",""5.39"",""2.307"",""537"""
"6/11/2020,""0.7"",""8"",""3"",""1.8"",""4.22"",""1.483"",""558"""
"6/12/2020,""1.37"",""19.42"",""4.29"",""3.08"",""5.19"",""1.852"",""556"""
"6/13/2020,""1.82"",""70.42"",""6.08"",""3.91"",""11.54"",""6.423"",""533"""
"6/14/2020,""3.15"",""12.68"",""7.27"",""4.96"",""8.63"",""2.251"",""168"""
"6/15/2020,""1.9"",""15.38"",""3.72"",""2.71"",""4.79"",""1.521"",""284"""
"6/16/2020,""1.22"",""13.3"",""3.47"",""2.5"",""4.62"",""2.039"",""549"""
"6/17/2020,""1.4"",""109.63"",""8.36"",""6.22"",""10.05"",""5.644"",""538"""
"6/18/2020,""1.47"",""19.42"",""3.5"",""2.72"",""5.17"",""2.17"",""499"""
"6/19/2020,""0.65"",""14.35"",""2"",""1.42"",""3.37"",""2.468"",""479"""
"6/20/2020,""1.1"",""21.23"",""2.9"",""2.25"",""3.83"",""2.122"",""569"""
"6/21/2020,""1.42"",""11.4"",""5.05"",""3.67"",""6.03"",""2.137"",""310"""
"6/22/2020,""0.9"",""14.5"",""5.5"",""2.99"",""7.9"",""3.517"",""329"""
"6/23/2020,""1.4"",""21.37"",""6.1"",""3.24"",""10.02"",""4.135"",""476"""
"6/24/2020,""0.47"",""22.27"",""3.17"",""1.55"",""6.53"",""3.805"",""578"""
"6/25/2020,""0.8"",""5.95"",""1.77"",""1.4"",""2.29"",""0.886"",""555"""
"6/26/2020,""1.5"",""15.88"",""3.58"",""2.42"",""5.46"",""2.546"",""544"""
"6/27/2020,""1.37"",""20.9"",""3.64"",""2.37"",""6.03"",""3.465"",""514"""
"6/28/2020,""0.93"",""66.65"",""3.5"",""1.74"",""5.11"",""7.773"",""437"""
"6/29/2020,""1.77"",""114.15"",""5.03"",""4.03"",""7.08"",""17.88"",""475"""
"6/30/2020,""2.45"",""36.95"",""8.18"",""5"",""11.6"",""4.704"",""455"""
